epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,598.102,0.76397,0.59361,0.93726,0.88775,0.89756,0.9,0.4773,1.27523,0.72377,0.9097,0.000660299,0.000660299,0.000660299
63,607.573,0.88625,0.64119,0.90055,0.8923,0.9,0.88971,0.46773,1.26384,0.71975,0.90976,0.000643795,0.000643795,0.000643795
64,617.196,0.85185,0.61341,0.89066,0.89137,0.9,0.89224,0.50199,1.12043,0.68267,0.86607,0.000627292,0.000627292,0.000627292
65,626.854,0.77454,0.58465,0.89404,0.98537,1,0.995,0.53482,1.06184,0.64587,0.8375,0.000610789,0.000610789,0.000610789
66,636.247,0.8098,0.63715,0.90161,0.97782,1,0.995,0.57149,1.08465,0.62867,0.83403,0.000594286,0.000594286,0.000594286
67,645.818,0.78737,0.58023,0.8849,0.96504,1,0.995,0.53608,1.2022,0.64587,0.86884,0.000577782,0.000577782,0.000577782
68,655.517,0.79385,0.60651,0.8773,0.96225,1,0.995,0.47734,1.35584,0.67541,0.9298,0.000561279,0.000561279,0.000561279
69,665.147,0.77664,0.56049,0.89424,0.86879,0.9,0.85537,0.42,1.43735,0.69686,0.9687,0.000544776,0.000544776,0.000544776
70,674.435,0.80427,0.58929,0.91727,0.87639,0.9,0.87536,0.4505,1.34314,0.68456,0.9315,0.000528272,0.000528272,0.000528272
71,684.042,0.7318,0.57023,0.88843,0.97444,1,0.995,0.52504,1.14038,0.64625,0.86076,0.000511769,0.000511769,0.000511769
72,693.695,0.72559,0.56406,0.91096,0.95922,1,0.995,0.56345,1.02398,0.62104,0.82819,0.000495266,0.000495266,0.000495266
73,702.995,0.7885,0.58472,0.91273,0.93046,1,0.995,0.55859,1.0353,0.63086,0.83485,0.000478762,0.000478762,0.000478762
74,712.563,0.78935,0.57555,0.91649,0.80982,0.9,0.87536,0.49949,1.12902,0.66403,0.86474,0.000462259,0.000462259,0.000462259
75,722.35,0.73444,0.55434,0.88974,0.82726,0.9,0.87536,0.50806,1.22673,0.67409,0.89129,0.000445756,0.000445756,0.000445756
76,731.881,0.79466,0.58356,0.89437,0.92999,0.99261,0.995,0.54697,1.22737,0.66063,0.89158,0.000429253,0.000429253,0.000429253
77,741.452,0.68384,0.53955,0.88831,0.9231,0.98571,0.99472,0.57734,1.14138,0.63214,0.86405,0.000412749,0.000412749,0.000412749
78,751.226,0.82925,0.62986,0.89451,0.93969,0.98951,0.995,0.62699,1.05531,0.61068,0.84087,0.000396246,0.000396246,0.000396246
